frame,id,type,x,y,z,kmh,gear
19371,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
19371,2859,vehicle.bh.crossbike,   285.708,   200.132,     0.003,           0.00,0
19371,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
19371,2872,vehicle.bh.crossbike,   334.649,   202.602,     0.004,           0.00,0
19371,2846,vehicle.bh.crossbike,   216.518,    -1.534,     0.002,           0.00,0
19371,2849,vehicle.bh.crossbike,   283.516,   333.660,     0.107,           0.00,0
19371,2847,vehicle.bh.crossbike,   373.685,   327.382,     0.002,           0.00,0
19371,2843,vehicle.bh.crossbike,    97.106,    90.607,     0.107,           0.00,0
19371,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
19371,3225,vehicle.tesla.model3,   196.702,    59.903,     0.342,           0.00,1
19371,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
19371,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
19371,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
19371,2867,vehicle.bh.crossbike,   127.771,    59.181,     0.003,           0.00,0
19371,2845,vehicle.bh.crossbike,   313.064,    61.107,     0.028,           0.00,0
19371,2869,vehicle.bh.crossbike,   155.095,   191.655,     0.107,           0.00,0
19371,2862,vehicle.bh.crossbike,   332.082,   307.528,     0.109,           0.00,0
19371,2857,vehicle.bh.crossbike,    88.350,   163.376,     0.003,           0.00,0
19371,2866,vehicle.bh.crossbike,   226.811,   125.102,     0.107,           0.00,0
19371,2855,vehicle.bh.crossbike,    91.685,   239.858,     0.003,           0.00,0
19371,2870,vehicle.bh.crossbike,   203.808,   329.321,     0.003,           0.00,0
19371,2852,vehicle.bh.crossbike,   388.443,     2.011,     0.000,           0.00,0
19371,2865,vehicle.bh.crossbike,    92.245,   151.636,     0.003,           0.00,0
19371,2863,vehicle.bh.crossbike,   239.726,   135.689,     0.112,           0.00,0
19371,2856,vehicle.bh.crossbike,   193.261,    54.933,     0.003,           0.00,0
19371,2851,vehicle.bh.crossbike,   399.946,   137.220,     0.107,           0.00,0
19371,2860,vehicle.bh.crossbike,    70.519,     2.005,     0.003,           0.00,0
19371,2871,vehicle.bh.crossbike,   159.684,     2.773,     0.002,           0.00,0
19371,2864,vehicle.bh.crossbike,   200.254,     3.327,     0.003,           0.00,0
19371,2868,vehicle.bh.crossbike,   194.412,    59.494,     0.015,           0.00,0
19371,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
19371,2452,vehicle.bh.crossbike,    81.212,   256.393,     0.034,           0.00,0
19371,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
19371,2449,vehicle.bh.crossbike,   397.438,   237.032,     0.003,           0.00,0
19371,2448,vehicle.bh.crossbike,    -3.993,   110.637,     0.054,           0.00,0
19371,2447,vehicle.bh.crossbike,    -8.836,    97.465,    -0.276,           0.00,0
19371,2446,vehicle.bh.crossbike,   271.043,    56.248,     0.003,           0.00,0
19371,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
19371,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
19371,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.003,           0.00,0
19371,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
19371,2441,vehicle.bh.crossbike,    77.373,     3.383,     0.003,           0.00,0
19371,2440,vehicle.bh.crossbike,   400.493,   265.647,     0.107,           0.00,0
19371,2439,vehicle.bh.crossbike,   398.852,     4.524,     0.328,           0.00,0
19371,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
19371,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.098,           0.00,0
19371,2436,vehicle.bh.crossbike,   339.012,   240.470,     0.003,           0.00,0
19371,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
19371,2434,vehicle.bh.crossbike,   398.926,   229.531,     0.107,           0.00,0
19371,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
19371,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
19371,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.106,           0.00,0
19371,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
19371,2423,vehicle.bh.crossbike,     4.840,   101.356,     0.560,           0.00,0
19371,2844,vehicle.bh.crossbike,     1.320,   181.328,     0.003,           0.00,0
19371,2850,vehicle.bh.crossbike,     0.101,   248.133,     0.003,           0.00,0
19371,2853,vehicle.bh.crossbike,   145.881,   197.391,     0.002,           0.00,0
19371,2854,vehicle.bh.crossbike,   125.713,   195.247,     0.003,           0.00,0
19371,2861,vehicle.bh.crossbike,   156.366,   193.277,     0.054,           0.00,0
19371,2990,vehicle.tesla.model3,   200.671,    60.296,    -0.009,           0.00,1
19372,2858,vehicle.bh.crossbike,   194.641,   194.135,     0.003,           0.00,0
19372,2848,vehicle.bh.crossbike,   280.805,   136.949,     0.136,           0.00,0
19372,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
19372,2859,vehicle.bh.crossbike,   285.708,   200.132,     0.003,           0.00,0
19372,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
19372,2872,vehicle.bh.crossbike,   334.649,   202.602,     0.004,           0.00,0
19372,2846,vehicle.bh.crossbike,   216.518,    -1.534,     0.002,           0.00,0
19372,2849,vehicle.bh.crossbike,   283.516,   333.660,     0.107,           0.00,0
19372,2847,vehicle.bh.crossbike,   373.685,   327.382,     0.002,           0.00,0
19372,2843,vehicle.bh.crossbike,    97.106,    90.607,     0.107,           0.00,0
19372,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
19372,3225,vehicle.tesla.model3,   196.702,    59.903,     0.342,           0.00,1
19372,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
19372,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
19372,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
19372,2867,vehicle.bh.crossbike,   127.771,    59.181,     0.003,           0.00,0
19372,2845,vehicle.bh.crossbike,   313.064,    61.107,     0.028,           0.00,0
19372,2869,vehicle.bh.crossbike,   155.095,   191.655,     0.107,           0.00,0
19372,2862,vehicle.bh.crossbike,   332.082,   307.528,     0.109,           0.00,0
19372,2857,vehicle.bh.crossbike,    88.350,   163.376,     0.003,           0.00,0
19372,2866,vehicle.bh.crossbike,   226.811,   125.102,     0.107,           0.00,0
19372,2855,vehicle.bh.crossbike,    91.685,   239.858,     0.003,           0.00,0
19372,2870,vehicle.bh.crossbike,   203.808,   329.321,     0.003,           0.00,0
19372,2852,vehicle.bh.crossbike,   388.443,     2.011,     0.000,           0.00,0
19372,2865,vehicle.bh.crossbike,    92.245,   151.636,     0.003,           0.00,0
19372,2863,vehicle.bh.crossbike,   239.726,   135.689,     0.112,           0.00,0
19372,2856,vehicle.bh.crossbike,   193.261,    54.933,     0.003,           0.00,0
19372,2851,vehicle.bh.crossbike,   399.946,   137.220,     0.107,           0.00,0
19372,2860,vehicle.bh.crossbike,    70.519,     2.005,     0.003,           0.00,0
19372,2871,vehicle.bh.crossbike,   159.684,     2.773,     0.002,           0.00,0
19372,2864,vehicle.bh.crossbike,   200.254,     3.327,     0.003,           0.00,0
19372,2868,vehicle.bh.crossbike,   194.412,    59.494,     0.015,           0.00,0
19372,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
19372,2452,vehicle.bh.crossbike,    81.212,   256.393,     0.034,           0.00,0
19372,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
19372,2449,vehicle.bh.crossbike,   397.438,   237.032,     0.003,           0.00,0
19372,2448,vehicle.bh.crossbike,    -3.993,   110.637,     0.054,           0.00,0
19372,2447,vehicle.bh.crossbike,    -8.836,    97.465,    -0.276,           0.00,0
19372,2446,vehicle.bh.crossbike,   271.043,    56.248,     0.003,           0.00,0
19372,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
19372,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
19372,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.003,           0.00,0
19372,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
19372,2441,vehicle.bh.crossbike,    77.373,     3.383,     0.003,           0.00,0
19372,2440,vehicle.bh.crossbike,   400.493,   265.647,     0.107,           0.00,0
19372,2439,vehicle.bh.crossbike,   398.852,     4.524,     0.328,           0.00,0
19372,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
19372,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.098,           0.00,0
19372,2436,vehicle.bh.crossbike,   339.012,   240.470,     0.003,           0.00,0
19372,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
19372,2434,vehicle.bh.crossbike,   398.926,   229.531,     0.107,           0.00,0
19372,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
19372,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
19372,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.106,           0.00,0
19372,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
19372,2423,vehicle.bh.crossbike,     4.840,   101.356,     0.560,           0.00,0
19372,2844,vehicle.bh.crossbike,     1.320,   181.328,     0.003,           0.00,0
19372,2850,vehicle.bh.crossbike,     0.101,   248.133,     0.003,           0.00,0
19372,2853,vehicle.bh.crossbike,   145.881,   197.391,     0.002,           0.00,0
19372,2854,vehicle.bh.crossbike,   125.713,   195.247,     0.003,           0.00,0
19372,2861,vehicle.bh.crossbike,   156.366,   193.277,     0.054,           0.00,0
19372,2990,vehicle.tesla.model3,   200.671,    60.296,    -0.009,           0.00,1
19373,2858,vehicle.bh.crossbike,   194.641,   194.135,     0.003,           0.00,0
19373,2848,vehicle.bh.crossbike,   280.805,   136.949,     0.136,           0.00,0
19373,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
19373,2859,vehicle.bh.crossbike,   285.708,   200.132,     0.003,           0.00,0
19373,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
19373,2872,vehicle.bh.crossbike,   334.649,   202.602,     0.004,           0.00,0
19373,2846,vehicle.bh.crossbike,   216.518,    -1.534,     0.002,           0.00,0
19373,2849,vehicle.bh.crossbike,   283.516,   333.660,     0.107,           0.00,0
19373,2847,vehicle.bh.crossbike,   373.685,   327.382,     0.002,           0.00,0
19373,2843,vehicle.bh.crossbike,    97.106,    90.607,     0.107,           0.00,0
19373,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
19373,3225,vehicle.tesla.model3,   196.702,    59.903,     0.342,           0.00,1
19373,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
19373,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
19373,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
19373,2867,vehicle.bh.crossbike,   127.771,    59.181,     0.003,           0.00,0
19373,2845,vehicle.bh.crossbike,   313.064,    61.107,     0.028,           0.00,0
19373,2869,vehicle.bh.crossbike,   155.095,   191.655,     0.107,           0.00,0
19373,2862,vehicle.bh.crossbike,   332.082,   307.528,     0.109,           0.00,0
19373,2857,vehicle.bh.crossbike,    88.350,   163.376,     0.003,           0.00,0
19373,2866,vehicle.bh.crossbike,   226.811,   125.102,     0.107,           0.00,0
19373,2855,vehicle.bh.crossbike,    91.685,   239.858,     0.003,           0.00,0
19373,2870,vehicle.bh.crossbike,   203.808,   329.321,     0.003,           0.00,0
19373,2852,vehicle.bh.crossbike,   388.443,     2.011,     0.000,           0.00,0
19373,2865,vehicle.bh.crossbike,    92.245,   151.636,     0.003,           0.00,0
19373,2863,vehicle.bh.crossbike,   239.726,   135.689,     0.112,           0.00,0
19373,2856,vehicle.bh.crossbike,   193.261,    54.933,     0.003,           0.00,0
19373,2851,vehicle.bh.crossbike,   399.946,   137.220,     0.107,           0.00,0
19373,2860,vehicle.bh.crossbike,    70.519,     2.005,     0.003,           0.00,0
19373,2871,vehicle.bh.crossbike,   159.684,     2.773,     0.002,           0.00,0
19373,2864,vehicle.bh.crossbike,   200.254,     3.327,     0.003,           0.00,0
19373,2868,vehicle.bh.crossbike,   194.412,    59.494,     0.015,           0.00,0
19373,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
19373,2452,vehicle.bh.crossbike,    81.212,   256.393,     0.034,           0.00,0
19373,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
19373,2449,vehicle.bh.crossbike,   397.438,   237.032,     0.003,           0.00,0
19373,2448,vehicle.bh.crossbike,    -3.993,   110.637,     0.054,           0.00,0
19373,2447,vehicle.bh.crossbike,    -8.836,    97.465,    -0.276,           0.00,0
19373,2446,vehicle.bh.crossbike,   271.043,    56.248,     0.003,           0.00,0
19373,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
19373,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
19373,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.003,           0.00,0
19373,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
19373,2441,vehicle.bh.crossbike,    77.373,     3.383,     0.003,           0.00,0
19373,2440,vehicle.bh.crossbike,   400.493,   265.647,     0.107,           0.00,0
19373,2439,vehicle.bh.crossbike,   398.852,     4.524,     0.328,           0.00,0
19373,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
19373,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.098,           0.00,0
19373,2436,vehicle.bh.crossbike,   339.012,   240.470,     0.003,           0.00,0
19373,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
19373,2434,vehicle.bh.crossbike,   398.926,   229.531,     0.107,           0.00,0
19373,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
19373,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
19373,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.106,           0.00,0
19373,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
19373,2423,vehicle.bh.crossbike,     4.840,   101.356,     0.560,           0.00,0
19373,2844,vehicle.bh.crossbike,     1.320,   181.328,     0.003,           0.00,0
19373,2850,vehicle.bh.crossbike,     0.101,   248.133,     0.003,           0.00,0
19373,2853,vehicle.bh.crossbike,   145.881,   197.391,     0.002,           0.00,0
19373,2854,vehicle.bh.crossbike,   125.713,   195.247,     0.003,           0.00,0
19373,2861,vehicle.bh.crossbike,   156.366,   193.277,     0.054,           0.00,0
19373,2990,vehicle.tesla.model3,   200.671,    60.296,    -0.009,           0.00,1
19374,2858,vehicle.bh.crossbike,   194.641,   194.135,     0.003,           0.00,0
19374,2848,vehicle.bh.crossbike,   280.805,   136.949,     0.136,           0.00,0
19374,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
19374,2859,vehicle.bh.crossbike,   285.708,   200.132,     0.003,           0.00,0
19374,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
19374,2872,vehicle.bh.crossbike,   334.649,   202.602,     0.004,           0.00,0
19374,2846,vehicle.bh.crossbike,   216.518,    -1.534,     0.002,           0.00,0
19374,2849,vehicle.bh.crossbike,   283.516,   333.660,     0.107,           0.00,0
19374,2847,vehicle.bh.crossbike,   373.685,   327.382,     0.002,           0.00,0
19374,2843,vehicle.bh.crossbike,    97.106,    90.607,     0.107,           0.00,0
19374,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
19374,3225,vehicle.tesla.model3,   196.702,    59.903,     0.342,           0.00,1
